question,path,score,relation_type
对于患有慢性肺心病的65岁男性患者石某，他因感冒出现气急、咳嗽、痰不易咳出等症状，同时伴有口唇发绀及下肢水肿，体温38.9℃，脉搏110次/min，呼吸24次/min，情绪不稳，对疾病缺乏正确认识。在这种情况下，建议对患者采取何种吸氧方案？,慢性肺心病急性加重->治疗方法->高流量吸氧,0.91,治疗方法
一个38岁的男性在4小时前从6米高处跌落，左腰部撞击石块，出现左腰部疼痛和轻微压痛，并且尿常规检查显示红细胞阳性。血压正常。根据这些症状和检查结果，最可能的诊断是什么？,肾脏损伤->治疗方法->抗生素,0.18,治疗方法
对于一名30岁男性在车祸后30分钟出现发绀、烦躁不安、呼吸困难，并伴有左侧大块胸壁软化和两肺湿啰音的症状，首要的处理措施是什么？,车祸->可能患有疾病->创伤性湿肺,0.12,可能患有疾病
一位36岁女性患者的颊部黏膜出现白色斑块并带有皱褶。显微镜下检查显示上皮厚度增加，上皮细胞内出现水肿，胞核固缩或消失，并出现空泡性变。根据这些病理特征，该病理诊断应该是什么？,白色水肿 -> 疾病描述 -> 上皮细胞水肿，胞核固缩，空泡性变,0.88,疾病描述
一名32岁的男性因车祸导致右髋关节肿痛并活动受限，请根据X光片描述最可能的诊断类型是什么？,髋关节后脱位->诊断检查->CT扫描,0.51,诊断检查
一位27岁经产妇在妊娠38周时阴道流血2日无痛，量如月经。产后检查发现胎膜破口距胎盘边缘4厘米，胎盘边缘有黑紫色陈旧血块附着。请问本例患者的最终诊断是什么？,前置胎盘->并发症->胎膜破裂,0.52,并发症
描述患者症状为：日晡潮热、谵语、纯利稀水、恶臭异常、腹胀硬痛、肛门灼热、舌苔黄燥、脉沉有力。这种情况下，应该采用哪种中药汤进行治疗？,调胃承气汤->食谱有害于疾病->油炸食物,0.06,食谱有益于疾病
一位30岁的女性表现出咽痛干痒、异物感、干咳少痰、颧红、潮热、耳鸣和多梦等症状，舌红苔少，脉细数。根据以上症状特征，宜选用的基础方剂是什么？,肺阴虚->常用药品->养阴清肺汤,0.88,常用药品
一位17岁女性患者有腹泻、发热4天，并伴有全身皮疹出现和瘙痒2天的病史。她的病状包括黄色稀水样便、反复高热并在接受抗感染和补液治疗后病情无明显改善。目前皮疹表现为多部位大片状鲜红色隆起性红斑，伴有水肿且形状不规则。实验室检查显示白细胞增高和大便白细胞阳性。在这种情况下，指导患者治疗的主要原则是什么？,高热 -> 推荐食谱 -> 清热解毒汤,0.01,推荐食谱
根据患者三年前左膝关节轻微外伤史，以及目前的症状和影像学检查结果，最可能的诊断是什么？,半月板损伤->治疗方法->物理治疗,0.64,治疗方法
一名35岁女性，10年前做过胃大部切除术，现在出现头晕、乏力、面色苍白等症状，血常规显示红细胞减少，血红蛋白低，骨髓检查显示幼红细胞显著增生，尤其是中、晚期幼红细胞增多且体积小、蓝染质少，边缘不规则。请问针对这些情况，首选的治疗措施是什么？,维生素B12缺乏性贫血->治疗方法->肌肉注射维生素B12,0.63,治疗方法
一名20岁男性患者，数月来出现低热乏力和逐渐加重的呼吸困难，体检发现气管偏向右侧，左下肺叩诊呈浊音，语颤消失，且左上肺可闻及支气管呼吸音，下方肺泡呼吸音消失。结合上述体征，请问最可能的诊断是什么？,胸腔积液->食物有益于疾病->高蛋白饮食,0.21,食物有益于疾病
一位45岁的女性患者在胃癌术后2年，现在检查出双侧卵巢对称性增大，直径10cm，卵巢保持固有外形，表面光滑，切面实性，灰白色，质硬。该肿瘤中的印戒样细胞使用哪种染色方法会呈现阳性结果？,Krukenberg肿瘤->治疗方法->手术切除,0.61,治疗方法
对于Cushing综合征患者，血浆ACTH为200pg/ml且大剂量地塞米松不能抑制的情况下，应该进一步进行何种影像学检查以帮助明确诊断？,库欣综合征->诊断检查->地塞米松抑制试验,0.86,诊断检查
28岁女性在停经70天进行人工流产术中，突然出现烦躁不安、寒战、咳嗽、呼吸困难等症状，应该首先应用哪种药物来处理这种情况？,羊水栓塞->治疗方法->氧气支持,0.67,治疗方法
一个5岁的女孩因浮肿和尿量减少3至4天入院，体检显示眼睑浮肿，尿液检查蛋白质和红细胞增多，血压为140/100mmHg。根据这些症状和检查结果，她可能被诊断为什么病？,急性肾小球肾炎->症状->蛋白质和红细胞增多,0.95,症状
对于一名表现为腹痛便秘，脐下绞结，绕脐不止，手足不温，舌苔白不渴，脉沉弦而迟的患者，应该采用什么方剂进行治疗？,寒积->症状->腹痛便秘,0.86,症状
一名30岁女性患者，既往多次进行人工流产术，现人工流产术后4个月无月经，伴周期性下腹痛，周期约为30天。妇科检查发现子宫稍大，压痛，后穹窿饱满且软。根据上述症状和体征，该患者可能的诊断是什么？,宫腔粘连综合征->治疗方法->宫腔分离术,0.89,治疗方法
一个男性患者表现为全身水肿，皮肤绷紧光亮，伴有胸脘痞闷、烦热口渴，经过治疗略有好转但水肿反复发作，同时口咽干燥、大便干结，舌红少苔，脉象细弦数。针对这种情况，应使用何种中药方剂进行治疗？,阴虚内热->忌吃->辛辣燥热食物,0.12,忌吃
